DocIndex	Position	Left	Middle	Right
1	10	Tipografía creada para el Museo Edward James, basado en la	arquitectura	, bocetos, planos, estructuras y vegetación del mítico castillo que construyó
2	14	colección de guías de viaje de México, decidió usar la	arquitectura	de las iglesias coloniales como su inspiración gráfica. Simplificó las
0	8	Antorcha es una reinterpretación digital de la emblemática	identidad	tipográfica de los Juegos Olímpicos de México 1968. Concebida como
3	14	para OCC surge como parte integral del rediseño de su	identidad	visual, con el propósito de dotarla de mayor unicidad y
3	154	esta propuesta conjuga funcionalidad técnica y expresividad visual, fortaleciendo la	identidad	institucional de la marca
0	15	de la emblemática identidad tipográfica de los Juegos Olímpicos de	México	1968. Concebida como homenaje, reproduce con fidelidad el complejo sistema
1	27	mítico castillo que construyó James en Xilitla, San Luis Potosí,	México	
2	10	Originalmente diseñado para una colección de guías de viaje de	México	, decidió usar la arquitectura de las iglesias coloniales como su
